"","FID","Site","SOC","SAND","CLAY","ANPP_MAP_E","data_MAT","data_MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLA","SLOPE","CURVATURE","GOOGLE_DIR","Kormos_MAP","Kormos_MAT","canopy_hei","rcew_veg_c","predicted_GPP","rcew_DEM_3","ANPP","MAT","MAP","MIMSOC","MIMIC","SOC_error","ANPPbyMAP"
"42",53,"S46",4.1542,72.6544,17.443,775.429488,6.8,647.04,16.6,1.37,36.496,0,0,0,43.12875942,-116.7929445,"Johnston Draw",1774.37,"Southeast",15.8,-0.99,"Nicholas_Patton",646.9420166,6.8000002,0.315186,51.0568008,613.9910278,1774.189941,456.9955139,6.8000002,646.9420166,4.22102167284526,0.0388644453118354,-0.0668216728452595,0.706393312188529
"43",54,"S47",1.82,69.02,11.26,769.74592,6.7,643.6,16.6,1.37,36.496,0,0,0,43.12971095,-116.7934963,"Johnston Draw",1787.2,"East",13.4,-0.69,"Nicholas_Patton",643.1439819,6.6999998,1.60596,47.4474983,831.276001,1786.900024,565.6380005,6.6999998,643.1439819,4.3781577357718,0.0480825717025136,-2.5581577357718,0.879488911377155
"44",55,"S48",1.283333333,47.45833333,19.43166667,746.152504,6.7,629.32,16.6,1.37,36.496,0,0,0,43.13058584,-116.7985533,"Johnston Draw",1799.81,"East",10.5,0.26,"Nicholas_Patton",628.9910278,6.6999998,0.0417983,0,503.3420105,1799.810059,401.67100525,6.6999998,628.9910278,4.16096964423934,0.0341834713303768,-2.87763631123934,0.638595762891739
"45",56,"S49",3.56952381,59.81142857,20.72380952,749.109942,6.7,631.11,16.6,1.37,36.496,0,0,0,43.13104556,-116.7960652,"Johnston Draw",1788.23,"Southwest",2.7,0.02,"Nicholas_Patton",630.6810303,6.6999998,0.0799715,4.8996,230.2749939,1788.150024,265.13749695,6.6999998,630.6810303,3.82958430250321,0.0235572320220201,-0.260060492503207,0.420398718546966
"46",57,"S50",1.783333333,62.605,12.33166667,789.770584,6.6,655.72,16.6,1.37,36.496,0,0,0,43.13301998,-116.7920531,"Johnston Draw",1809.04,"West",5.7,0.24,"Nicholas_Patton",654.4829712,6.5999999,0.0264212,0,157.8029938,1809.089966,228.9014969,6.5999999,654.4829712,2.91638410583264,0.0505483451985309,-1.13305077283264,0.349744007059966
"47",64,"S53",0.587352941,24.25294118,38.65352941,302.487238,8.2,360.79,16.6,1.37,36.496,0,0,0,43.14393712,-116.7367838,"Lower Sheep Creek",1614.47,"Northwest",9.8,0.65,"Nicholas_Patton",360.6390076,8.1999998,0.0700836,0,-110.0210037,1614.439941,94.98949815,8.1999998,360.6390076,2.43477545045758,0.0121535204037264,-1.84742250945758,0.263392190384898
"48",65,"S54",0.576129032,26.79516129,26.38645161,290.987926,8.2,353.83,16.6,1.37,36.496,0,0,0,43.1439637,-116.7353485,"Lower Sheep Creek",1618.39,"North",4.4,0.18,"Nicholas_Patton",354.4710083,8.1999998,0.0666284,2.5657201,-97.2988968,1618.319946,101.3505516,8.1999998,354.4710083,2.44658911927277,0.0129740778182406,-1.87046008727277,0.285920566779396
"49",66,"S55",0.928333333,24.19333333,25.87,289.567034,8.2,352.97,16.6,1.37,36.496,0,0,0,43.14459543,-116.73561,"Lower Sheep Creek",1609.77,"North",7.7,-1.58,"Nicholas_Patton",352.5100098,8.1999998,0.0068309,0,-20.0743008,1609.550049,139.9628496,8.1999998,352.5100098,2.6033249793757,0.0171291541551106,-1.6749916463757,0.397046454594039
"50",70,"S57",0.571666667,24.035,33.69333333,178.704414,8.7,285.87,16.6,1.37,36.496,0,0,0,43.16761023,-116.7130538,"Nancy Gulch",1423.26,"Northeast",6.3,0.75,"Nicholas_Patton",285.3930054,8.6999998,0.166226,40.6562996,-11.6217003,1422.98999,144.18914985,8.6999998,285.3930054,2.60962229272588,0.0173802726250847,-2.03795562572588,0.505230146225581
"51",71,"S58",0.57825,53.541125,18.4965,149.09699,8.8,267.95,16.6,1.37,36.496,0,0,0,43.18051979,-116.7138797,"Nancy Gulch",1358.33,"West",6,0.42,"Nicholas_Patton",267.4899902,8.8000002,0.0643441,0,-147.7720032,1358.439941,76.1139984,8.8000002,267.4899902,8.35350929854096,0.00387324240846928,-7.77525929854096,0.28454895954458
"52",72,"S59",0.64547619,60.00309524,13.10452381,144.47083,8.9,265.15,16.6,1.37,36.496,0,0,0,43.18077561,-116.7145575,"Nancy Gulch",1349.48,"Northwest",7.5,0.25,"Nicholas_Patton",265.1430054,8.8999996,0.351943,53.6921997,-37.0149994,1349.23999,131.4925003,8.8999996,265.1430054,2.46884700218851,0.0165928753846798,-1.82337081218851,0.495930488913437
"53",73,"S60",1.521666667,70.25,7.375,616.33915,7.2,550.75,16.6,1.37,36.496,0,0,0,43.18866189,-116.8130672,"Whiskey Hill",1649.89,"Northwest",9.48999,-1.49,"Nicholas_Patton",551.427002,7.1999998,0.0396728,0,259.9630127,1649.819946,279.98150635,7.1999998,551.427002,3.89335627906709,0.0241940179919542,-2.37168961206709,0.507739928103847
"54",77,"S62",1.225384615,76.9625641,12.44717949,558.082578,7.5,515.49,16.6,1.37,36.496,0,0,0,43.19159234,-116.8095646,"Whiskey Hill",1600.85,"Northwest",18.7613,1.09,"Nicholas_Patton",517.8859863,7.5,0.0765021,15.9204998,329.8859863,1601.199951,314.94299315,7.5,517.8859863,3.95443764304357,0.0268213198122395,-2.72905302804357,0.608131908337756
"55",78,"S63",2.37,55.58833333,14.18166667,548.499818,7.7,509.69,16.6,1.37,36.496,0,0,0,43.19214026,-116.8079732,"Whiskey Hill",1561.52,"Northeast",26.4441,-7.44,"Nicholas_Patton",511.1560059,7.67661,1.55502,61.9555016,386.7359924,1562.01001,343.3679962,7.67661,511.1560059,3.97597744883458,0.0292399464383627,-1.60597744883458,0.671747944339276
"56",79,"S64",1.483333333,66.38,14.655,531.184762,7.7,499.21,16.6,1.37,36.496,0,0,0,43.19243739,-116.8066319,"Whiskey Hill",1556.92,"North",14.2814,0.76,"Nicholas_Patton",500.4349976,7.6999998,0.116364,33.9916992,252.2409973,1556.579956,276.12049865,7.6999998,500.4349976,3.79972225489225,0.024053252763736,-2.31638892189225,0.551760967906374
"57",80,"S65",0.711666667,74.61,12.28333333,655.562378,7.1,574.49,16.6,1.37,36.496,0,0,0,43.19273015,-116.8149283,"Whiskey Hill",1656.56,"East",24.0165,-10.81,"Nicholas_Patton",574.4520264,7.1238699,0.344103,34.7112007,263.072998,1656.410034,281.536499,7.1238699,574.4520264,3.90711461281045,0.0242793256956593,-3.19544794581045,0.490095753973303
"58",81,"S66",0.512702703,85.02135135,9.932162162,626.58279,7.5,556.95,16.6,1.37,36.496,0,0,0,43.19347351,-116.810691,"Whiskey Hill",1591.32,"Southeast",18.2607,-1.78,"Nicholas_Patton",558.8359985,7.5,0.065004,29.6802006,178.470993,1591.920044,239.2354965,7.5,558.8359985,3.54229055135736,0.0223805647849569,-3.02958784835736,0.428096073163046
"59",82,"S67",0.657777778,22.91111111,42.02777778,249.187266,8.4,328.53,16.6,1.37,36.496,0,0,0,43.20024555,-116.7057467,"Nancy Gulch",1403.57,"North",10,0.2,"Nicholas_Patton",328.447998,8.3995199,0.0216184,7.8849201,-237.220993,1403.420044,31.3895035,8.3995199,328.447998,2.3272139672283,0.00402575930370631,-1.6694361892283,0.0955691728710126
"60",83,"S68",0.4046875,42.8784375,11.260625,148.750028,9,267.74,16.6,1.37,36.496,0,0,0,43.20529592,-116.7506016,"Quonset",1201.83,"Northeast",2.34061,-0.02,"Nicholas_Patton",267.8120117,9,0.141385,37.4644012,-31.9323997,1201.829956,134.03380015,9,267.8120117,2.48687788057261,0.0167637226316514,-2.08219038057261,0.500477179119744
"61",84,"S69",0.276363636,49.24424242,19.68212121,92.063046,9.2,233.43,16.6,1.37,36.496,0,0,0,43.2284173,-116.7368159,"Flats",1187.91,"Northwest",1.70107,1,"Nicholas_Patton",233.1569977,9.1999998,0.0708225,1.3466901,-115.1849976,1187.859985,92.4075012,9.1999998,233.1569977,2.36460196668243,0.0118254934973072,-2.08823833068243,0.396331665408128
"62",91,"S72",0.155,78.55333333,11.63333333,132.376726,8.8,257.83,16.6,1.37,36.496,0,0,0,43.24720654,-116.7071648,"Summit Greasewood",1284.18,"Southwest",3.55728,-0.38,"Nicholas_Patton",258.1380005,8.8000002,0.0687109,5.5534902,-213.1569977,1284.229981,43.42150115,8.8000002,258.1380005,2.30817030931869,0.00557082331633024,-2.15317030931869,0.168210418713614
