OBJECTID,Site,SOC,SAND,CLAY,ANPP_MAP_E,MAT,MAP,LIG,N,CN,CDI,SAND2,CLAY2,LAT,LONG,L1,ELEVATION,ASPECT_CLA,SLOPE,CURVATURE,GOOGLE_DIR,Kormos_MAP,Kormos_MAT,canopy_hei,rcew_veg_c,predicted_,rcew_DEM_3,pred_MAP
31,S23,0.976666667,13.055,62.945,541.08144,8.1,505.2,16.6,1.37,36.496,0,0,0,43.12298817,-116.776913,Johnston Draw,1509.35,Southeast,7.9,-0.52,Nicholas_Patton,506.0570068,8.1150398,0.0754072,13.8839998,407.0710144,1509.400024,446.1410522
32,S24,9.036666667,53.64,15.81888889,724.31042,7,616.1,16.6,1.37,36.496,0,0,0,43.12303246,-116.7927984,Johnston Draw,1729.91,Northeast,20,-1.91,Nicholas_Patton,620.5009766,7,3.33413,95.1225967,1697.349976,1729.75,895.8040771
33,S25,4.775,71.972,15.234,654.521492,7.6,573.86,16.6,1.37,36.496,0,0,0,43.12303738,-116.7856704,Johnston Draw,1614.42,North,22.2,0.61,Nicholas_Patton,573.9639893,7.5999999,0.169649,55.6142006,849.9509888,1614.27002,676.2404175
34,S26,2.034193548,72.18967742,17.47419355,663.542504,7.5,579.32,16.6,1.37,36.496,0,0,0,43.12317978,-116.7878097,Johnston Draw,1638.27,North,28.5,2.79,Nicholas_Patton,579.0180054,7.5,0.214987,51.7928009,884.9459839,1637.930054,733.6983643
35,S27,8.913333333,65.35622222,12.678,671.060014,7.6,583.87,16.6,1.37,36.496,0,0,0,43.12349175,-116.7874879,Johnston Draw,1616.16,Northeast,28.1,-3.35,Nicholas_Patton,584.0910034,7.5633202,3.46839,73.4173965,1149.939941,1616.650024,682.151123
36,S28,4.908974359,14.55897436,55.82153846,791.80279,6.6,656.95,16.6,1.37,36.496,0,0,0,43.12363069,-116.7967467,Johnston Draw,1798.82,Northeast,5.2,0.48,Nicholas_Patton,657.9390259,6.5999999,0.0429996,0,247.4929962,1798.780029,979.1754761
37,S29,3.157142857,77.81714286,10.69714286,680.69234,7.6,589.7,16.6,1.37,36.496,0,0,0,43.12378073,-116.7876965,Johnston Draw,1618.14,South,13.7,-2.37,Nicholas_Patton,589.8939819,7.5999999,0.162813,41.3151016,601.9329834,1618.439941,524.6799927
38,S30,2.342,71.243,12.293,602.642412,7.9,542.46,16.6,1.37,36.496,0,0,0,43.12385697,-116.7800245,Johnston Draw,1548.39,Southeast,19.8,0.6,Nicholas_Patton,543.3209839,7.9187198,0.087916,11.3063002,386.3739929,1548.119995,474.0314636
39,S31,2.49,58.73,18.765,616.190452,7.8,550.66,16.6,1.37,36.496,0,0,0,43.12387104,-116.7826147,Johnston Draw,1570.03,Northeast,17.1,0.8,Nicholas_Patton,552.28302,7.8000002,0.238387,47.6589012,641.6920166,1569.910034,568.0706177
40,S32,0.798333333,73.59833333,13.725,625.723646,7.9,556.43,16.6,1.37,36.496,0,0,0,43.12416094,-116.7826214,Johnston Draw,1568.05,Southeast,18.9,1.77,Nicholas_Patton,560.7670288,7.87187,0.256978,27.6818008,483.3880005,1568.099976,488.1744385
41,S33,2.126666667,84.1925,13.48833333,723.038226,7.3,615.33,16.6,1.37,36.496,0,0,0,43.12421955,-116.7895852,Johnston Draw,1666.1,Southeast,22.5,2.14,Nicholas_Patton,615.8690186,7.3393002,0.11259,23.4426994,397.04599,1665.930054,559.010498
