"Site","SOC","SAND","CLAY","ANPP_MAP_EST","MAT","MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLASS","SLOPE","CURVATURE","GOOGLE_DIR"
"S64",1.48333333333333,66.38,14.655,531.184762,7.7,499.21,16.6,1.37,36.496,0,0,0,43.19243739,-116.8066319,"Whiskey Hill","1556.92","North","14.2814","0.76","Nicholas_Patton"
"S65",0.711666666666667,74.61,12.2833333333333,655.562378,7.1,574.49,16.6,1.37,36.496,0,0,0,43.19273015,-116.8149283,"Whiskey Hill","1656.56","East","24.0165","-10.81","Nicholas_Patton"
"S66",0.512702702702703,85.0213513513514,9.93216216216216,626.58279,7.5,556.95,16.6,1.37,36.496,0,0,0,43.19347351,-116.810691,"Whiskey Hill","1591.32","Southeast","18.2607","-1.78","Nicholas_Patton"
"S67",0.657777777777778,22.9111111111111,42.0277777777778,249.187266,8.4,328.53,16.6,1.37,36.496,0,0,0,43.20024555,-116.7057467,"Nancy Gulch","1403.57","North","10","0.2","Nicholas_Patton"
"S68",0.4046875,42.8784375,11.260625,148.750028,9,267.74,16.6,1.37,36.496,0,0,0,43.20529592,-116.7506016,"Quonset","1201.83","Northeast","2.34061","-0.02","Nicholas_Patton"
"S69",0.276363636363636,49.2442424242424,19.6821212121212,92.063046,9.2,233.43,16.6,1.37,36.496,0,0,0,43.2284173,-116.7368159,"Flats","1187.91","Northwest","1.70107","1","Nicholas_Patton"
"S70",0.39,70.355,17.3016666666667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.24398495,-116.7068239,"S8Aa",NA,NA,NA,NA,"Ryan_Will"
"S70",0.39,70.355,17.3016666666667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.24398495,-116.7068239,"S8Ab",NA,NA,NA,NA,"Ryan_Will"
"S70",0.39,70.355,17.3016666666667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.24398495,-116.7068239,"S8Ac",NA,NA,NA,NA,"Ryan_Will"
"S71",0.455555555555556,42.4916666666667,4.94833333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.2441009,-116.7290508,"S10Aa",NA,NA,NA,NA,"Ryan_Will"
"S71",0.455555555555556,42.4916666666667,4.94833333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.2441009,-116.7290508,"S10Ab",NA,NA,NA,NA,"Ryan_Will"
"S71",0.455555555555556,42.4916666666667,4.94833333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.2441009,-116.7290508,"S10Ac",NA,NA,NA,NA,"Ryan_Will"
"S72",0.155,78.5533333333333,11.6333333333333,132.376726,8.8,257.83,16.6,1.37,36.496,0,0,0,43.24720654,-116.7071648,"Summit Greasewood","1284.18","Southwest","3.55728","-0.38","Nicholas_Patton"
"S73",1.14277777777778,9.44166666666667,11.08,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.27961997,-116.808557,"S22Aa",NA,NA,NA,NA,"Ryan_Will"
"S73",1.14277777777778,9.44166666666667,11.08,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.27961997,-116.808557,"S22Ab",NA,NA,NA,NA,"Ryan_Will"
"S73",1.14277777777778,9.44166666666667,11.08,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.27961997,-116.808557,"S22Ac",NA,NA,NA,NA,"Ryan_Will"
